"","origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib"
"1","EWR",2013,1,1,0,37.04,21.92,53.97,230,10.35702,11.9186514756,0,1013.9,10
"2","EWR",2013,1,1,1,37.04,21.92,53.97,230,13.80936,15.8915353008,0,1013,10
"3","EWR",2013,1,1,2,37.94,21.92,52.09,230,12.65858,14.5672406924,0,1012.6,10
"4","EWR",2013,1,1,3,37.94,23,54.51,230,13.80936,15.8915353008,0,1012.7,10
"5","EWR",2013,1,1,4,37.94,24.08,57.04,240,14.96014,17.2158299092,0,1012.8,10
"6","EWR",2013,1,1,6,39.02,26.06,59.37,270,10.35702,11.9186514756,0,1012,10
"7","EWR",2013,1,1,7,39.02,26.96,61.63,250,8.05546,9.2700622588,0,1012.3,10
"8","EWR",2013,1,1,8,39.02,28.04,64.43,240,11.5078,13.242946084,0,1012.5,10
"9","EWR",2013,1,1,9,39.92,28.04,62.21,250,12.65858,14.5672406924,0,1012.2,10
"10","EWR",2013,1,1,10,39.02,28.04,64.43,260,12.65858,14.5672406924,0,1011.9,10
"11","EWR",2013,1,1,11,37.94,28.04,67.21,240,11.5078,13.242946084,0,1012.4,10
"12","EWR",2013,1,1,12,39.02,28.04,64.43,240,14.96014,17.2158299092,0,1012.2,10
"13","EWR",2013,1,1,13,39.92,28.04,62.21,250,10.35702,11.9186514756,0,1012.2,10
"14","EWR",2013,1,1,14,39.92,28.04,62.21,260,14.96014,17.2158299092,0,1012.7,10
"15","EWR",2013,1,1,15,41,28.04,59.65,260,13.80936,15.8915353008,0,1012.4,10
"16","EWR",2013,1,1,16,41,26.96,57.06,260,14.96014,17.2158299092,0,1011.4,10
"17","EWR",2013,1,1,17,39.2,28.4,64.93,270,16.11092,18.5401245176,0,NA,10
"18","EWR",2013,1,1,18,39.2,28.4,64.93,330,14.96014,17.2158299092,0,NA,10
"19","EWR",2013,1,1,19,39.02,24.08,54.68,280,13.80936,15.8915353008,0,1010.8,10
"20","EWR",2013,1,1,20,37.94,24.08,57.04,290,9.20624,10.5943568672,0,1011.9,10
"21","EWR",2013,1,1,21,37.04,19.94,49.62,300,13.80936,15.8915353008,0,1012.1,10
"22","EWR",2013,1,1,22,35.96,19.04,49.83,330,11.5078,13.242946084,0,1013.2,10
"23","EWR",2013,1,1,23,33.98,15.08,45.43,310,12.65858,14.5672406924,0,1014.1,10
"24","EWR",2013,1,2,0,33.08,12.92,42.84,320,10.35702,11.9186514756,0,1014.4,10
